Time,Vector,JspA,JspA(E148A),JspA-HA,JspA(E148A)-HA,Vector,JspA,JspA(E148A),JspA-HA,JspA(E148A)-HA,Vector,JspA,JspA(E148A),JspA-HA,JspA(E148A)-HA,Vector,JspA,JspA(E148A),JspA-HA,JspA(E148A)-HA
20,0.043,0.044,0.044,0.048,0.044,0.048,0.047,0.043,0.045,0.041,0.046,0.043,0.039,0.042,0.042,0.049,0.046,0.043,0.047,0.044
40,0.046,0.046,0.047,0.05,0.047,0.05,0.05,0.046,0.047,0.044,0.049,0.046,0.042,0.045,0.046,0.052,0.049,0.045,0.05,0.048
60,0.049,0.049,0.049,0.053,0.049,0.053,0.053,0.048,0.05,0.047,0.052,0.049,0.045,0.048,0.048,0.055,0.052,0.048,0.054,0.051
80,0.052,0.052,0.053,0.056,0.052,0.055,0.055,0.05,0.051,0.048,0.056,0.052,0.048,0.052,0.051,0.059,0.055,0.051,0.057,0.054
100,0.055,0.054,0.056,0.06,0.055,0.059,0.059,0.055,0.055,0.053,0.059,0.055,0.051,0.055,0.055,0.063,0.058,0.054,0.061,0.057
120,0.059,0.057,0.059,0.063,0.059,0.063,0.063,0.058,0.059,0.057,0.063,0.057,0.053,0.058,0.058,0.066,0.061,0.057,0.064,0.061
140,0.064,0.06,0.062,0.066,0.063,0.066,0.064,0.061,0.061,0.059,0.068,0.06,0.057,0.062,0.063,0.071,0.064,0.06,0.068,0.065
160,0.07,0.062,0.065,0.07,0.067,0.071,0.068,0.065,0.065,0.065,0.073,0.062,0.06,0.064,0.067,0.076,0.066,0.063,0.071,0.069
180,0.075,0.064,0.069,0.073,0.071,0.076,0.07,0.069,0.068,0.068,0.077,0.064,0.063,0.067,0.071,0.081,0.068,0.066,0.074,0.074
200,0.079,0.066,0.072,0.076,0.075,0.08,0.071,0.071,0.07,0.071,0.083,0.066,0.067,0.07,0.075,0.086,0.07,0.07,0.078,0.077
220,0.083,0.067,0.075,0.078,0.08,0.085,0.074,0.075,0.073,0.076,0.087,0.068,0.07,0.072,0.08,0.091,0.072,0.073,0.08,0.081
240,0.089,0.069,0.078,0.081,0.084,0.09,0.074,0.079,0.075,0.08,0.093,0.07,0.074,0.075,0.084,0.096,0.073,0.077,0.082,0.084
260,0.093,0.07,0.082,0.082,0.088,0.096,0.076,0.083,0.078,0.085,0.098,0.07,0.077,0.077,0.089,0.102,0.075,0.081,0.085,0.09
280,0.097,0.071,0.085,0.085,0.092,0.101,0.078,0.087,0.08,0.089,0.101,0.071,0.08,0.078,0.092,0.106,0.076,0.084,0.086,0.094
300,0.101,0.072,0.088,0.086,0.096,0.107,0.079,0.09,0.081,0.092,0.108,0.073,0.083,0.08,0.095,0.111,0.076,0.088,0.088,0.099
320,0.106,0.073,0.091,0.088,0.099,0.111,0.08,0.093,0.083,0.096,0.113,0.073,0.087,0.082,0.099,0.116,0.078,0.091,0.09,0.103
340,0.11,0.074,0.095,0.09,0.104,0.115,0.081,0.098,0.085,0.101,0.117,0.074,0.09,0.084,0.103,0.121,0.078,0.096,0.092,0.108
360,0.114,0.075,0.098,0.092,0.105,0.118,0.08,0.099,0.085,0.102,0.12,0.075,0.093,0.085,0.107,0.125,0.079,0.099,0.093,0.11
380,0.118,0.075,0.101,0.093,0.108,0.123,0.081,0.102,0.087,0.105,0.125,0.076,0.096,0.086,0.11,0.132,0.08,0.102,0.095,0.113
400,0.122,0.076,0.103,0.094,0.111,0.129,0.082,0.105,0.089,0.108,0.13,0.076,0.099,0.087,0.114,0.137,0.08,0.105,0.096,0.116
420,0.127,0.076,0.107,0.095,0.115,0.134,0.082,0.108,0.089,0.111,0.136,0.076,0.102,0.088,0.118,0.142,0.08,0.108,0.098,0.119
440,0.133,0.075,0.11,0.097,0.12,0.141,0.083,0.112,0.091,0.115,0.142,0.077,0.105,0.089,0.123,0.15,0.081,0.11,0.099,0.123
460,0.139,0.076,0.113,0.097,0.124,0.148,0.083,0.115,0.093,0.12,0.149,0.076,0.109,0.09,0.128,0.157,0.081,0.114,0.1,0.128
480,0.145,0.076,0.117,0.098,0.129,0.155,0.083,0.119,0.093,0.125,0.156,0.077,0.112,0.092,0.134,0.165,0.081,0.117,0.101,0.133
500,0.152,0.076,0.12,0.099,0.135,0.163,0.084,0.123,0.094,0.13,0.163,0.077,0.116,0.092,0.14,0.173,0.081,0.122,0.102,0.139
520,0.16,0.077,0.125,0.1,0.141,0.17,0.083,0.127,0.094,0.135,0.172,0.077,0.121,0.093,0.146,0.18,0.082,0.126,0.103,0.146
540,0.166,0.077,0.13,0.101,0.147,0.176,0.084,0.133,0.096,0.142,0.177,0.078,0.125,0.094,0.153,0.186,0.082,0.131,0.104,0.153
560,0.171,0.077,0.134,0.102,0.154,0.182,0.084,0.137,0.097,0.149,0.183,0.078,0.13,0.095,0.16,0.192,0.082,0.136,0.106,0.16
580,0.177,0.077,0.139,0.103,0.159,0.189,0.085,0.142,0.098,0.153,0.19,0.078,0.135,0.096,0.164,0.2,0.082,0.141,0.107,0.164
600,0.183,0.078,0.145,0.105,0.163,0.197,0.085,0.148,0.1,0.159,0.197,0.078,0.141,0.097,0.169,0.208,0.082,0.147,0.108,0.169
620,0.191,0.078,0.15,0.106,0.169,0.205,0.085,0.154,0.102,0.164,0.206,0.078,0.146,0.099,0.175,0.217,0.083,0.153,0.11,0.174
640,0.199,0.078,0.155,0.107,0.175,0.213,0.086,0.158,0.103,0.169,0.214,0.079,0.152,0.1,0.182,0.226,0.083,0.158,0.112,0.181
660,0.207,0.078,0.159,0.109,0.181,0.221,0.086,0.162,0.104,0.176,0.222,0.079,0.155,0.101,0.189,0.234,0.083,0.161,0.113,0.188
680,0.214,0.079,0.163,0.11,0.188,0.229,0.086,0.167,0.106,0.183,0.23,0.079,0.16,0.103,0.197,0.243,0.084,0.166,0.116,0.196
700,0.223,0.079,0.168,0.112,0.196,0.237,0.086,0.172,0.107,0.189,0.239,0.08,0.166,0.105,0.205,0.251,0.084,0.172,0.117,0.204
720,0.23,0.079,0.174,0.114,0.203,0.245,0.087,0.178,0.11,0.198,0.247,0.08,0.171,0.106,0.213,0.259,0.085,0.178,0.119,0.211
740,0.238,0.079,0.179,0.116,0.21,0.25,0.087,0.185,0.112,0.205,0.253,0.08,0.177,0.108,0.221,0.263,0.085,0.184,0.121,0.219
760,0.243,0.079,0.186,0.118,0.218,0.255,0.087,0.191,0.114,0.212,0.257,0.081,0.184,0.11,0.229,0.268,0.085,0.191,0.124,0.227
780,0.247,0.08,0.192,0.12,0.225,0.259,0.087,0.198,0.116,0.22,0.262,0.081,0.19,0.111,0.237,0.273,0.085,0.198,0.126,0.235
800,0.252,0.08,0.199,0.122,0.233,0.264,0.087,0.203,0.117,0.226,0.267,0.082,0.197,0.114,0.245,0.277,0.085,0.204,0.128,0.242
820,0.256,0.08,0.205,0.124,0.24,0.268,0.087,0.209,0.119,0.233,0.272,0.082,0.204,0.115,0.251,0.283,0.086,0.211,0.131,0.249
840,0.26,0.08,0.211,0.126,0.244,0.273,0.088,0.217,0.123,0.238,0.276,0.082,0.21,0.117,0.255,0.286,0.086,0.217,0.134,0.254
860,0.265,0.081,0.217,0.129,0.248,0.276,0.088,0.223,0.125,0.243,0.279,0.082,0.216,0.119,0.261,0.291,0.086,0.224,0.137,0.259
880,0.268,0.08,0.223,0.132,0.253,0.28,0.089,0.229,0.128,0.248,0.283,0.082,0.223,0.122,0.265,0.295,0.086,0.231,0.14,0.264
900,0.272,0.08,0.229,0.135,0.258,0.285,0.089,0.235,0.131,0.252,0.287,0.082,0.23,0.125,0.271,0.298,0.087,0.237,0.144,0.269
920,0.276,0.081,0.234,0.137,0.262,0.287,0.088,0.238,0.133,0.256,0.291,0.083,0.235,0.127,0.275,0.302,0.087,0.242,0.146,0.273
940,0.279,0.081,0.238,0.141,0.266,0.291,0.089,0.243,0.137,0.261,0.294,0.083,0.239,0.13,0.279,0.306,0.087,0.246,0.151,0.278
960,0.282,0.081,0.242,0.144,0.27,0.295,0.09,0.247,0.14,0.264,0.298,0.083,0.243,0.133,0.283,0.309,0.088,0.251,0.154,0.281
980,0.286,0.081,0.246,0.147,0.274,0.297,0.089,0.251,0.143,0.267,0.301,0.084,0.248,0.136,0.287,0.313,0.088,0.255,0.157,0.285
1000,0.289,0.081,0.25,0.151,0.278,0.301,0.09,0.255,0.148,0.272,0.305,0.084,0.252,0.139,0.291,0.316,0.088,0.26,0.16,0.289
1020,0.292,0.082,0.254,0.154,0.281,0.305,0.091,0.259,0.15,0.275,0.308,0.084,0.256,0.143,0.295,0.319,0.089,0.264,0.163,0.292
1040,0.295,0.082,0.258,0.157,0.284,0.307,0.091,0.263,0.152,0.278,0.311,0.084,0.26,0.146,0.298,0.322,0.089,0.267,0.166,0.296
1060,0.297,0.082,0.262,0.16,0.288,0.309,0.091,0.266,0.155,0.281,0.313,0.084,0.263,0.15,0.302,0.324,0.089,0.271,0.169,0.299
1080,0.299,0.083,0.265,0.163,0.291,0.311,0.092,0.269,0.159,0.285,0.316,0.085,0.267,0.152,0.305,0.327,0.089,0.274,0.173,0.303
1100,0.301,0.083,0.268,0.167,0.294,0.313,0.092,0.273,0.162,0.288,0.318,0.085,0.27,0.156,0.309,0.328,0.09,0.278,0.178,0.306
1120,0.303,0.083,0.272,0.17,0.297,0.315,0.092,0.276,0.166,0.291,0.32,0.085,0.274,0.158,0.312,0.331,0.09,0.281,0.181,0.309
1140,0.305,0.083,0.274,0.173,0.3,0.316,0.092,0.279,0.17,0.293,0.321,0.085,0.277,0.161,0.315,0.332,0.09,0.284,0.186,0.313
1160,0.307,0.083,0.277,0.177,0.302,0.318,0.093,0.282,0.175,0.296,0.323,0.086,0.28,0.165,0.317,0.334,0.09,0.287,0.19,0.315
1180,0.31,0.084,0.28,0.182,0.304,0.32,0.093,0.284,0.177,0.298,0.324,0.086,0.283,0.169,0.32,0.335,0.091,0.291,0.195,0.317
1200,0.309,0.084,0.282,0.186,0.306,0.32,0.094,0.287,0.181,0.3,0.325,0.087,0.286,0.173,0.322,0.336,0.091,0.294,0.199,0.319
1220,0.31,0.084,0.285,0.189,0.308,0.321,0.094,0.289,0.185,0.302,0.326,0.086,0.289,0.177,0.324,0.336,0.091,0.296,0.203,0.322
1240,0.31,0.084,0.287,0.193,0.31,0.321,0.094,0.292,0.189,0.304,0.326,0.087,0.291,0.181,0.326,0.336,0.092,0.299,0.207,0.323
1260,0.311,0.085,0.29,0.197,0.311,0.32,0.094,0.293,0.192,0.305,0.326,0.087,0.294,0.186,0.328,0.336,0.092,0.302,0.211,0.325
1280,0.311,0.085,0.292,0.201,0.313,0.321,0.095,0.295,0.197,0.307,0.326,0.088,0.297,0.19,0.33,0.335,0.092,0.304,0.216,0.327
1300,0.31,0.085,0.293,0.205,0.315,0.32,0.095,0.297,0.2,0.308,0.325,0.088,0.298,0.193,0.331,0.334,0.092,0.305,0.22,0.328
1320,0.309,0.085,0.295,0.21,0.316,0.32,0.095,0.299,0.204,0.309,0.325,0.088,0.3,0.198,0.332,0.334,0.093,0.308,0.223,0.329
1340,0.309,0.085,0.297,0.212,0.317,0.319,0.096,0.301,0.208,0.31,0.324,0.088,0.302,0.202,0.333,0.333,0.093,0.31,0.227,0.33
1360,0.308,0.085,0.298,0.215,0.317,0.318,0.096,0.302,0.209,0.311,0.323,0.089,0.304,0.206,0.334,0.333,0.093,0.311,0.229,0.331
1380,0.307,0.086,0.3,0.218,0.318,0.319,0.096,0.304,0.212,0.311,0.323,0.089,0.305,0.21,0.334,0.332,0.094,0.313,0.232,0.331
1400,0.307,0.086,0.301,0.22,0.318,0.316,0.096,0.304,0.214,0.31,0.323,0.089,0.307,0.213,0.334,0.332,0.094,0.315,0.234,0.331
1420,0.307,0.086,0.302,0.223,0.318,0.316,0.097,0.307,0.217,0.311,0.322,0.089,0.309,0.216,0.334,0.332,0.094,0.317,0.237,0.331
1440,0.305,0.086,0.304,0.226,0.318,0.316,0.097,0.308,0.219,0.31,0.322,0.089,0.31,0.22,0.334,0.331,0.094,0.318,0.24,0.331
1460,0.305,0.086,0.305,0.228,0.317,0.315,0.098,0.309,0.222,0.31,0.321,0.09,0.312,0.222,0.333,0.331,0.095,0.319,0.243,0.33
