Time,OD,Genotypes
20,0.044,jspA_E148A.1
40,0.047,jspA_E148A.1
60,0.049,jspA_E148A.1
80,0.053,jspA_E148A.1
100,0.056,jspA_E148A.1
120,0.059,jspA_E148A.1
140,0.062,jspA_E148A.1
160,0.065,jspA_E148A.1
180,0.069,jspA_E148A.1
200,0.072,jspA_E148A.1
220,0.075,jspA_E148A.1
240,0.078,jspA_E148A.1
260,0.082,jspA_E148A.1
280,0.085,jspA_E148A.1
300,0.088,jspA_E148A.1
320,0.091,jspA_E148A.1
340,0.095,jspA_E148A.1
360,0.098,jspA_E148A.1
380,0.101,jspA_E148A.1
400,0.103,jspA_E148A.1
420,0.107,jspA_E148A.1
440,0.11,jspA_E148A.1
460,0.113,jspA_E148A.1
480,0.117,jspA_E148A.1
500,0.12,jspA_E148A.1
520,0.125,jspA_E148A.1
540,0.13,jspA_E148A.1
560,0.134,jspA_E148A.1
580,0.139,jspA_E148A.1
600,0.145,jspA_E148A.1
620,0.15,jspA_E148A.1
640,0.155,jspA_E148A.1
660,0.159,jspA_E148A.1
680,0.163,jspA_E148A.1
700,0.168,jspA_E148A.1
720,0.174,jspA_E148A.1
740,0.179,jspA_E148A.1
760,0.186,jspA_E148A.1
780,0.192,jspA_E148A.1
800,0.199,jspA_E148A.1
820,0.205,jspA_E148A.1
840,0.211,jspA_E148A.1
860,0.217,jspA_E148A.1
880,0.223,jspA_E148A.1
900,0.229,jspA_E148A.1
920,0.234,jspA_E148A.1
940,0.238,jspA_E148A.1
960,0.242,jspA_E148A.1
980,0.246,jspA_E148A.1
1000,0.25,jspA_E148A.1
1020,0.254,jspA_E148A.1
1040,0.258,jspA_E148A.1
1060,0.262,jspA_E148A.1
1080,0.265,jspA_E148A.1
1100,0.268,jspA_E148A.1
1120,0.272,jspA_E148A.1
1140,0.274,jspA_E148A.1
1160,0.277,jspA_E148A.1
1180,0.28,jspA_E148A.1
1200,0.282,jspA_E148A.1
1220,0.285,jspA_E148A.1
1240,0.287,jspA_E148A.1
1260,0.29,jspA_E148A.1
1280,0.292,jspA_E148A.1
1300,0.293,jspA_E148A.1
1320,0.295,jspA_E148A.1
1340,0.297,jspA_E148A.1
1360,0.298,jspA_E148A.1
1380,0.3,jspA_E148A.1
1400,0.301,jspA_E148A.1
1420,0.302,jspA_E148A.1
1440,0.304,jspA_E148A.1
1460,0.305,jspA_E148A.1
20,0.043,jspA_E148A.2
40,0.046,jspA_E148A.2
60,0.048,jspA_E148A.2
80,0.05,jspA_E148A.2
100,0.055,jspA_E148A.2
120,0.058,jspA_E148A.2
140,0.061,jspA_E148A.2
160,0.065,jspA_E148A.2
180,0.069,jspA_E148A.2
200,0.071,jspA_E148A.2
220,0.075,jspA_E148A.2
240,0.079,jspA_E148A.2
260,0.083,jspA_E148A.2
280,0.087,jspA_E148A.2
300,0.09,jspA_E148A.2
320,0.093,jspA_E148A.2
340,0.098,jspA_E148A.2
360,0.099,jspA_E148A.2
380,0.102,jspA_E148A.2
400,0.105,jspA_E148A.2
420,0.108,jspA_E148A.2
440,0.112,jspA_E148A.2
460,0.115,jspA_E148A.2
480,0.119,jspA_E148A.2
500,0.123,jspA_E148A.2
520,0.127,jspA_E148A.2
540,0.133,jspA_E148A.2
560,0.137,jspA_E148A.2
580,0.142,jspA_E148A.2
600,0.148,jspA_E148A.2
620,0.154,jspA_E148A.2
640,0.158,jspA_E148A.2
660,0.162,jspA_E148A.2
680,0.167,jspA_E148A.2
700,0.172,jspA_E148A.2
720,0.178,jspA_E148A.2
740,0.185,jspA_E148A.2
760,0.191,jspA_E148A.2
780,0.198,jspA_E148A.2
800,0.203,jspA_E148A.2
820,0.209,jspA_E148A.2
840,0.217,jspA_E148A.2
860,0.223,jspA_E148A.2
880,0.229,jspA_E148A.2
900,0.235,jspA_E148A.2
920,0.238,jspA_E148A.2
940,0.243,jspA_E148A.2
960,0.247,jspA_E148A.2
980,0.251,jspA_E148A.2
1000,0.255,jspA_E148A.2
1020,0.259,jspA_E148A.2
1040,0.263,jspA_E148A.2
1060,0.266,jspA_E148A.2
1080,0.269,jspA_E148A.2
1100,0.273,jspA_E148A.2
1120,0.276,jspA_E148A.2
1140,0.279,jspA_E148A.2
1160,0.282,jspA_E148A.2
1180,0.284,jspA_E148A.2
1200,0.287,jspA_E148A.2
1220,0.289,jspA_E148A.2
1240,0.292,jspA_E148A.2
1260,0.293,jspA_E148A.2
1280,0.295,jspA_E148A.2
1300,0.297,jspA_E148A.2
1320,0.299,jspA_E148A.2
1340,0.301,jspA_E148A.2
1360,0.302,jspA_E148A.2
1380,0.304,jspA_E148A.2
1400,0.304,jspA_E148A.2
1420,0.307,jspA_E148A.2
1440,0.308,jspA_E148A.2
1460,0.309,jspA_E148A.2
20,0.039,jspA_E148A.3
40,0.042,jspA_E148A.3
60,0.045,jspA_E148A.3
80,0.048,jspA_E148A.3
100,0.051,jspA_E148A.3
120,0.053,jspA_E148A.3
140,0.057,jspA_E148A.3
160,0.06,jspA_E148A.3
180,0.063,jspA_E148A.3
200,0.067,jspA_E148A.3
220,0.07,jspA_E148A.3
240,0.074,jspA_E148A.3
260,0.077,jspA_E148A.3
280,0.08,jspA_E148A.3
300,0.083,jspA_E148A.3
320,0.087,jspA_E148A.3
340,0.09,jspA_E148A.3
360,0.093,jspA_E148A.3
380,0.096,jspA_E148A.3
400,0.099,jspA_E148A.3
420,0.102,jspA_E148A.3
440,0.105,jspA_E148A.3
460,0.109,jspA_E148A.3
480,0.112,jspA_E148A.3
500,0.116,jspA_E148A.3
520,0.121,jspA_E148A.3
540,0.125,jspA_E148A.3
560,0.13,jspA_E148A.3
580,0.135,jspA_E148A.3
600,0.141,jspA_E148A.3
620,0.146,jspA_E148A.3
640,0.152,jspA_E148A.3
660,0.155,jspA_E148A.3
680,0.16,jspA_E148A.3
700,0.166,jspA_E148A.3
720,0.171,jspA_E148A.3
740,0.177,jspA_E148A.3
760,0.184,jspA_E148A.3
780,0.19,jspA_E148A.3
800,0.197,jspA_E148A.3
820,0.204,jspA_E148A.3
840,0.21,jspA_E148A.3
860,0.216,jspA_E148A.3
880,0.223,jspA_E148A.3
900,0.23,jspA_E148A.3
920,0.235,jspA_E148A.3
940,0.239,jspA_E148A.3
960,0.243,jspA_E148A.3
980,0.248,jspA_E148A.3
1000,0.252,jspA_E148A.3
1020,0.256,jspA_E148A.3
1040,0.26,jspA_E148A.3
1060,0.263,jspA_E148A.3
1080,0.267,jspA_E148A.3
1100,0.27,jspA_E148A.3
1120,0.274,jspA_E148A.3
1140,0.277,jspA_E148A.3
1160,0.28,jspA_E148A.3
1180,0.283,jspA_E148A.3
1200,0.286,jspA_E148A.3
1220,0.289,jspA_E148A.3
1240,0.291,jspA_E148A.3
1260,0.294,jspA_E148A.3
1280,0.297,jspA_E148A.3
1300,0.298,jspA_E148A.3
1320,0.3,jspA_E148A.3
1340,0.302,jspA_E148A.3
1360,0.304,jspA_E148A.3
1380,0.305,jspA_E148A.3
1400,0.307,jspA_E148A.3
1420,0.309,jspA_E148A.3
1440,0.31,jspA_E148A.3
1460,0.312,jspA_E148A.3
20,0.043,jspA_E148A.4
40,0.045,jspA_E148A.4
60,0.048,jspA_E148A.4
80,0.051,jspA_E148A.4
100,0.054,jspA_E148A.4
120,0.057,jspA_E148A.4
140,0.06,jspA_E148A.4
160,0.063,jspA_E148A.4
180,0.066,jspA_E148A.4
200,0.07,jspA_E148A.4
220,0.073,jspA_E148A.4
240,0.077,jspA_E148A.4
260,0.081,jspA_E148A.4
280,0.084,jspA_E148A.4
300,0.088,jspA_E148A.4
320,0.091,jspA_E148A.4
340,0.096,jspA_E148A.4
360,0.099,jspA_E148A.4
380,0.102,jspA_E148A.4
400,0.105,jspA_E148A.4
420,0.108,jspA_E148A.4
440,0.11,jspA_E148A.4
460,0.114,jspA_E148A.4
480,0.117,jspA_E148A.4
500,0.122,jspA_E148A.4
520,0.126,jspA_E148A.4
540,0.131,jspA_E148A.4
560,0.136,jspA_E148A.4
580,0.141,jspA_E148A.4
600,0.147,jspA_E148A.4
620,0.153,jspA_E148A.4
640,0.158,jspA_E148A.4
660,0.161,jspA_E148A.4
680,0.166,jspA_E148A.4
700,0.172,jspA_E148A.4
720,0.178,jspA_E148A.4
740,0.184,jspA_E148A.4
760,0.191,jspA_E148A.4
780,0.198,jspA_E148A.4
800,0.204,jspA_E148A.4
820,0.211,jspA_E148A.4
840,0.217,jspA_E148A.4
860,0.224,jspA_E148A.4
880,0.231,jspA_E148A.4
900,0.237,jspA_E148A.4
920,0.242,jspA_E148A.4
940,0.246,jspA_E148A.4
960,0.251,jspA_E148A.4
980,0.255,jspA_E148A.4
1000,0.26,jspA_E148A.4
1020,0.264,jspA_E148A.4
1040,0.267,jspA_E148A.4
1060,0.271,jspA_E148A.4
1080,0.274,jspA_E148A.4
1100,0.278,jspA_E148A.4
1120,0.281,jspA_E148A.4
1140,0.284,jspA_E148A.4
1160,0.287,jspA_E148A.4
1180,0.291,jspA_E148A.4
1200,0.294,jspA_E148A.4
1220,0.296,jspA_E148A.4
1240,0.299,jspA_E148A.4
1260,0.302,jspA_E148A.4
1280,0.304,jspA_E148A.4
1300,0.305,jspA_E148A.4
1320,0.308,jspA_E148A.4
1340,0.31,jspA_E148A.4
1360,0.311,jspA_E148A.4
1380,0.313,jspA_E148A.4
1400,0.315,jspA_E148A.4
1420,0.317,jspA_E148A.4
1440,0.318,jspA_E148A.4
1460,0.319,jspA_E148A.4
